"protein","cr_rho","cr_P","avg_md_rho","avg_md_P","std_md_rho","std_md_P"
"1RD8_AB",0.0707098715265296,0.113217706508461,0.0707098715265296,0.113217706508461,0.103515433752904,0.0202289406807298
"2FP7_B",0.219003780420146,0.0076978003956847,0.219003780420146,0.0076978003956847,0.229830748248248,0.00510473163742585
"2JLY_A",0.0677387297758349,0.150942874013786,0.0677387297758349,0.150942874013786,0.124217859936012,0.008268622575637
"2Z83_A",0.149077694863129,0.00203452786895433,0.149077694863129,0.00203452786895433,0.139579010162807,0.00389483066365252
"3GOL_A",0.0553696238108933,0.191948854635408,0.0553696238108933,0.191948854635408,0.157777904506521,0.000184922892254745
"3LYF_A",0.051743420314546,0.421023532171531,0.051743420314546,0.421023532171531,0.129350832295363,0.0435249280800844
"4AQF_B",0.25170704304893,2.77181455168896e-08,0.25170704304893,2.77181455168896e-08,0.258364712725488,1.14761263642877e-08
"4GHA_A",0.0441421590623595,0.629250348257966,0.0441421590623595,0.629250348257966,0.0255767456056233,0.779752263677097
"4IRY_A",0.0710584113424449,0.153974126582646,0.0710584113424449,0.153974126582646,0.0794170975456,0.110972728418721
"3GSZ_A",0.0640530205717407,0.130732118748451,0.0640530205717407,0.130732118748451,0.116837537618843,0.00572342697869261
"3I5K_A",0.0717243306213966,0.0882317751418159,0.0717243306213966,0.0882317751418159,0.151027873685749,0.000311160362205677
"2JLY_A_temp_50",0.0967850916279324,0.039925078519075,0.0967850916279324,0.039925078519075,0.0550501434796727,0.243320551513624
"2JLY_A_temp_100",0.0748719360763065,0.112319326505364,0.0748719360763065,0.112319326505364,0.0439702958811751,0.351519561780888
"2JLY_A_temp_200",0.0901309774795756,0.0557899926779069,0.0901309774795756,0.0557899926779069,0.269006409055108,6.46341496979392e-09
"2JLY_A_temp_450",0.0955051047392065,0.0426392719403159,0.0955051047392065,0.0426392719403159,0.0984848903340025,0.036547707748039
