"protein","r.bfca_rmsfHS","p.bfca_rmsfHS","r.bfca_rmsfMD","p.bfca_rmsfMD"
"1RD8_AB",0.224776729932953,0.000830018478869526,0.278283843242727,2.13061591879299e-10
"2FP7_B",0.349827725607882,7.30165462305199e-05,0.604751542460734,5.00151265751039e-16
"2JLY_A",0.46024222180485,7.55069865288666e-21,0.305470230193897,3.39616973641729e-11
"2Z83_A",0.801193556102559,1.24690554241766e-83,0.53531988416359,5.85751975975814e-33
"3GOL_A",0.145648469167347,0.000895627589360437,0.137665817799032,0.00112496378332806
"3LYF_A",0.457376834767898,5.5814365756984e-13,0.3434846423103,3.66474734890289e-08
"4AQF_B",NA,NA,0.137574809933501,0.00268572199345043
"4GHA_A",NA,NA,0.479653425027826,2.27236842869598e-08
"4IRY_A",NA,NA,0.691420558544382,9.99968008877668e-59
"3GSZ_A",NA,NA,0.518306198906241,1.09846119176523e-39
"3I5K_A",NA,NA,0.384914057579096,1.98413516814157e-21
"2JLY_A_temp_50",NA,NA,0.333456582137554,3.5677606608534e-13
"2JLY_A_temp_100",NA,NA,0.24942583200258,7.98974461007368e-08
"2JLY_A_temp_200",NA,NA,0.216789941593343,3.37595164335628e-06
"2JLY_A_temp_450",NA,NA,0.414573427020867,3.68498463403915e-20
